,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
45,20190226,20190226130000510,20190226130009233,20190226130009242,20190226130009243,2011,11,13992316,958,102,13992314,13954151,4.26,2200,F,20190226130000510
46,20190226,20190226130000510,20190226130009233,20190226130009242,20190226130009243,2011,11,13992317,958,102,13992314,13962999,4.26,1200,F,20190226130000510
47,20190226,20190226130000570,20190226130009794,20190226130009804,20190226130009805,2011,11,13994323,958,102,13994322,13962999,4.26,1000,F,20190226130000570
48,20190226,20190226130000570,20190226130009805,20190226130009817,20190226130009817,2011,11,13994395,958,102,13994394,13962999,4.26,3600,F,20190226130000570
49,20190226,20190226130000620,20190226130010324,20190226130010336,20190226130010336,2011,11,13995852,958,102,13995851,13962999,4.26,500,F,20190226130000620
50,20190226,20190226130000650,20190226130010781,20190226130010790,20190226130010791,2011,11,13997342,958,102,7262466,0,0.0,2400,4,20190226130000650
51,20190226,20190226130000670,20190226130010828,20190226130010839,20190226130010840,2011,11,13997893,958,102,13513488,0,0.0,900,4,20190226130000670
52,20190226,20190226130000670,20190226130010828,20190226130010840,20190226130010841,2011,11,13997938,958,102,13997937,13962999,4.26,2700,F,20190226130000670
53,20190226,20190226130000690,20190226130011163,20190226130011173,20190226130011175,2011,11,13999342,958,102,0,12188512,0.0,6000,4,20190226130000690
54,20190226,20190226130000720,20190226130011302,20190226130011311,20190226130011311,2011,11,14000057,958,102,11835148,0,0.0,17500,4,20190226130000720
55,20190226,20190226130000720,20190226130011402,20190226130011413,20190226130011414,2011,11,14000359,958,102,0,10274265,0.0,1400,4,20190226130000720
56,20190226,20190226130000760,20190226130011684,20190226130011692,20190226130011693,2011,11,14001599,958,102,0,13740173,0.0,4000,4,20190226130000760
57,20190226,20190226130000770,20190226130011802,20190226130011811,20190226130011812,2011,11,14002200,958,102,0,9137199,0.0,3000,4,20190226130000770
58,20190226,20190226130000770,20190226130011812,20190226130011821,20190226130011822,2011,11,14002386,958,102,0,2137618,0.0,18700,4,20190226130000770
59,20190226,20190226130000890,20190226130012768,20190226130012781,20190226130012782,2011,11,14006324,958,102,14006323,9250939,4.27,1200,F,20190226130000890
60,20190226,20190226130000890,20190226130012768,20190226130012781,20190226130012782,2011,11,14006325,958,102,14006323,9255290,4.27,200,F,20190226130000890
61,20190226,20190226130000890,20190226130012768,20190226130012781,20190226130012782,2011,11,14006326,958,102,14006323,9485721,4.27,4300,F,20190226130000890
62,20190226,20190226130000970,20190226130013297,20190226130013304,20190226130013305,2011,11,14008848,958,102,13997937,14008847,4.26,100,F,20190226130000970
63,20190226,20190226130000970,20190226130013307,20190226130013314,20190226130013314,2011,11,14008940,958,102,0,8975958,0.0,2000,4,20190226130000970
64,20190226,20190226130000980,20190226130013386,20190226130013394,20190226130013395,2011,11,14009062,958,102,13997937,14009061,4.26,200,F,20190226130000980
65,20190226,20190226130000980,20190226130013386,20190226130013394,20190226130013395,2011,11,14009063,958,102,13998235,14009061,4.26,300,F,20190226130000980
66,20190226,20190226130000980,20190226130013422,20190226130013432,20190226130013433,2011,11,14009466,958,102,0,13927530,0.0,11000,4,20190226130000980
67,20190226,20190226130001010,20190226130013660,20190226130013668,20190226130013669,2011,11,14010522,958,102,14010521,9485721,4.27,700,F,20190226130001010
68,20190226,20190226130001010,20190226130013660,20190226130013668,20190226130013669,2011,11,14010523,958,102,14010521,9549586,4.27,1800,F,20190226130001010
69,20190226,20190226130001030,20190226130013868,20190226130013876,20190226130013877,2011,11,14011387,958,102,13953696,0,0.0,900,4,20190226130001030
70,20190226,20190226130001050,20190226130014108,20190226130014116,20190226130014117,2011,11,14012595,958,102,13985396,0,0.0,5200,4,20190226130001050
71,20190226,20190226130001100,20190226130014614,20190226130014621,20190226130014621,2011,11,14015250,958,102,14015249,9549586,4.27,5000,F,20190226130001100
72,20190226,20190226130001110,20190226130014715,20190226130014723,20190226130014724,2011,11,14015612,958,102,13998235,14015611,4.26,2900,F,20190226130001110
73,20190226,20190226130001190,20190226130015232,20190226130015243,20190226130015243,2011,11,14017818,958,102,13998235,14017817,4.26,1000,F,20190226130001190
74,20190226,20190226130001260,20190226130015778,20190226130015787,20190226130015788,2011,11,14020303,958,102,14020302,9549586,4.27,1000,F,20190226130001260
75,20190226,20190226130001270,20190226130015825,20190226130015834,20190226130015834,2011,11,14020727,958,102,1968855,0,0.0,2000,4,20190226130001270
76,20190226,20190226130001390,20190226130017010,20190226130017021,20190226130017021,2011,11,14026139,958,102,14026138,9549586,4.27,800,F,20190226130001390
77,20190226,20190226130001400,20190226130017110,20190226130017123,20190226130017124,2011,11,14026454,958,102,14026453,9549586,4.27,6000,F,20190226130001400
